"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"761387252647800832","","","2016-08-05 02:24:01 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Quick note on Proced - it works on Windows, and BSD, just not on OSX/macOS","","","",""
"761386573162086400","","","2016-08-05 02:21:19 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Proced - Emacs system process manager (GNU/Linux only, (maybe BSD?!)) https://t.co/40YYQGDdwi","","","","http://twitter.com/emacs_gifs/status/761386573162086400/photo/1"
"761359946801827840","761324702950387713","14307640","2016-08-05 00:35:31 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@NicolasPetton @ErgoEmacs before Skewer there was Slime-JS too 2012ish or earlier","","","",""
"761359624775700480","761324702950387713","14307640","2016-08-05 00:34:14 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@NicolasPetton @ErgoEmacs could we not do that with Skewer several years ago?","","","",""
"761344192798789632","761243520816459776","182777119","2016-08-04 23:32:55 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@ErgoEmacs @Kyle_Schmidt @xah_lee check it out here https://t.co/sAfJbrHfJY","","","","https://geekhack.org/index.php?topic=56923.0"
"761217627830181889","","","2016-08-04 15:09:59 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","iBuffer is a very powerful way to manage your Emacs buffers ... everything you need is there. (keys like Dired too.) https://t.co/8iDmgisuKv","","","","http://twitter.com/emacs_gifs/status/761217627830181889/photo/1"
"761192467093782529","","","2016-08-04 13:30:01 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","and the package that started all Nyan Emacs =&gt; Nyan Mode (a scroll position indicator with silly options and music.) https://t.co/IJTD4ITzOx","","","","http://twitter.com/emacs_gifs/status/761192467093782529/photo/1"
"761189120865546240","","","2016-08-04 13:16:43 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I said there were multiple Nyan cat things... I wasn't joking. This is Nyan Prompt! (for M-x eshell ) https://t.co/veHmdQrWmL","","","","http://twitter.com/emacs_gifs/status/761189120865546240/photo/1"
"761183251427827712","","","2016-08-04 12:53:23 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Emacs info charts? sure why not. https://t.co/IjILgOnNH2","","","","http://twitter.com/emacs_gifs/status/761183251427827712/photo/1"
"761178184691757056","761165949554786304","19674006","2016-08-04 12:33:15 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@Kyle_Schmidt @xah_lee @ErgoEmacs I'll probably pick up an old Advantage on EBay and fit it with a custom AtMega controller","","","",""
